CreationDate	Text	UserId	Score	PostId	Id
42006	14768	1	9	35314	1
3982	35713	3	5	35314	2
64031	63542	380	-1	35195	4
56489	49124	4642	1	12755	8
56110	28143	4550	-1	47239	9
8313	9893	242	2	45651	10
60950	55723	4642	2	47428	12
14215	59879	4642	-1	47481	14
60187	27673	2495	-1	47373	15
41224	2074	4642	-1	47497	16
52840	35465	2515	1	47513	18
63235	17382	2515	1	47466	19
56853	57676	199	-1	1517	20
39883	33500	658	1	47527	21
905	64749	292	-1	47626	22
50931	21297	4213	-1	46538	24
15396	42947	4213	3	47626	25
3784	12963	4585	-1	47464	26
28510	28572	4064	1	47624	27
6211	36311	4064	-1	47290	28
14784	12343	4906	-1	36050	30
48087	31214	3394	4	47777	31
57670	61868	4906	-1	47513	33
55150	40541	4906	-1	47630	34
60470	26528	4213	1	27429	37
34389	51398	811	-1	47631	38
23187	44259	4213	2	47885	41
19833	20215	1597	1	47885	44
9205	8725	4213	-1	47895	48
35939	35092	4071	-1	47857	49
61001	31627	4213	3	47903	51
14839	16515	91	-1	47937	52
56433	23573	4213	-1	47716	53
44247	64755	2147	3	47910	55
26311	38223	2915	1	47885	59
9776	53645	2658	1	47960	61
4309	14556	1615	-1	25139	62
50889	26893	4035	-1	47960	63
20820	6588	4285	-1	44921	64
45028	23255	422	-1	48002	65
31794	54556	445087	-1	47947	67
27649	49246	4761	2	24922	69
54400	54648	1254	-1	44921	70
62602	25927	445087	-1	48058	71
5890	57070	4906	-1	47860	72
60581	24192	445087	-1	48074	73
37712	57830	445087	-1	48078	74
24048	39970	4798	-1	48078	75
8753	25335	797	-1	48096	76
14656	65041	445087	-1	48091	77
36769	10136	445087	-1	48103	79
45239	39184	4926	-1	47721	81
49648	9260	1891	-1	46135	84
37471	9258	1573	-1	48128	87
50529	56286	209	-1	10714	88
54698	10975	209	-1	12892	90
6836	5328	2257	-1	48257	91
65416	41178	2260	-1	47509	92
53523	19515	4285	-1	44921	93
65453	50627	4285	-1	48060	94
17844	45388	4285	-1	48259	95
34703	21691	4134	2	48125	96
49191	40257	209	-1	45257	97
4674	47850	4833	-1	48383	101
36360	26488	445087	-1	48429	106
13614	57019	3408	-1	47008	107
23629	20681	3408	3	44234	108
56284	20681	3408	2	44226	109
4597	40684	1553	-1	32416	110
41652	31375	2260	-1	47509	115
54840	59937	1965	-1	48523	117
59388	49367	1254	-1	44921	118
27642	50018	2257	-1	48523	119
47818	3743	1820	1	39433	120
2060	14737	4918	-1	47714	123
24696	4985	5021	-1	48383	124
64166	49500	5021	-1	48369	125
41002	5953	4729	-1	48259	132
39023	4934	4596	-1	48502	133
996	1658	3394	-1	48547	134
10828	8711	4729	-1	46946	135
24641	52263	3394	-1	48547	136
56716	13362	4596	9	48065	137
27739	994	4729	-1	46940	139
16994	50866	1944	-1	48583	140
59287	6099	4729	-1	47256	141
8001	10092	2655	1	43526	142
47622	58061	2655	-1	41808	144
40329	35135	3055	-1	48571	145
42290	32037	2515	-1	48533	147
25124	57957	1944	-1	48592	151
7511	61902	577	-1	48322	153
61357	36957	5021	-1	42535	154
53057	57274	2257	-1	48571	155
27445	56363	2655	1	2962	157
53788	14051	1968	1	48646	158
16775	62421	2653	-1	48266	159
27827	22944	227	-1	22370	162
65259	46407	1996	-1	48675	164
2685	20135	5076	-1	48519	166
56273	4620	3848	5	47777	167
26237	61383	5076	11	48778	169
32335	24951	4918	1	48809	178
44275	50050	481	-1	24840	181
22974	17185	4489	-1	48257	191
552	18260	4489	-1	48654	192
15143	58912	828	-1	47177	193
14798	20142	909	3	48879	195
45550	32598	2030	-1	23295	196
43823	48861	1412	1	48905	198
45884	57724	1879	4	48915	199
25255	4343	2443	-1	48689	201
62763	46640	369	1	48938	202
52315	6331	233	-1	48938	203
24004	41590	3446	7	48905	205
56114	10240	3446	-1	48905	206
55506	1985	364	-1	49029	212
46733	29062	2653	1	48948	215
980	63737	146637	1	48942	217
49566	29295	1790	-1	49080	218
8004	29089	825	-1	49078	219
46552	45641	1694	1	49097	230
5679	37023	781	-1	6517	231
62557	7249	1412	-1	48905	233
13859	18414	2975	-1	49167	236
42116	63608	4960	-1	48948	237
18925	4346	1666	-1	49185	238
47241	8797	4489	-1	45741	239
40000	34892	364	-1	49197	241
31667	40529	2653	-1	49199	242
605	8187	4997	-1	48689	243
41830	21582	2653	-1	49233	245
42111	3016	2783	1	47290	246
13494	48959	720	-1	49233	247
12736	5126	4285	-1	49125	248
7316	11208	209	-1	17392	249
58514	26549	4491	-1	44261	250
6200	63532	1196	-1	49240	252
26487	24631	4596	-1	41088	253
49843	5440	832	-1	41589	254
16633	19035	46	1	47380	255
52248	38380	3641	-1	49218	256
46511	62877	1772	-1	48605	258
32917	37821	952	-1	49284	261
47813	36295	267	-1	47836	263
41085	31479	905	-1	48547	265
41942	1850	3394	-1	48547	267
57023	5359	718	-1	49218	268
62952	36052	372	-1	49346	269
27571	11788	2260	-1	49311	270
793	2242	4433	-1	49364	271
32702	7313	184	-1	49345	272
7146	19508	1127460	-1	49346	274
12775	49350	1127460	-1	49346	275
16247	14482	1127460	-1	49363	276
15412	53553	4021	1	45811	277
20925	26614	4021	-1	45293	278
24465	62127	959	-1	49397	279
30800	17410	3394	-1	47841	282
5735	32880	4052	2	39433	283
35287	8664	3955	-1	49266	284
49385	54711	1968	-1	49373	285
14421	26820	1008	-1	49404	286
31807	19572	1008	-1	49424	287
51815	16157	1908	1	46507	288
43204	27375	959	-1	49451	290
53667	44121	1908	-1	49479	294
60860	45122	5083	1	49493	295
1905	4544	1709	-1	49133	298
58705	49844	1709	-1	49082	299
26959	6874	2257	-1	49311	300
35996	37235	5083	-1	49505	302
54608	52642	832	-1	49466	303
43786	50655	954	-1	49505	304
1885	26065	999	-1	49528	306
27502	7963	2961	4	49549	309
38557	29810	3377	-1	49538	310
61028	45521	4919	-1	48777	313
13947	34281	1709	2	49606	316
38747	62227	1385358	-1	49606	317
40086	30221	1920	-1	49654	318
24627	54250	1944	-1	49683	319
47266	11578	5056	-1	49606	320
32265	50448	1242	-1	49598	321
21594	29158	4926	3	49666	322
57385	8063	1944	-1	49742	325
60415	8436	2385	-1	24401	327
59006	40284	1412	1	49731	328
49222	23131	1412	-1	24161	329
6772	34287	2385	-1	22595	331
21756	28538	3043	10	30262	332
32269	3832	157	-1	24401	333
49172	24302	1790	-1	49815	334
58103	53343	2975	-1	49802	335
17951	35477	2975	-1	49815	336
34888	49167	383	-1	49813	337
18010	54359	5083	-1	22595	338
8222	6837	4309	-1	49802	339
34531	62962	1790	-1	49825	340
30156	36971	2194	-1	49773	341
5843	48153	2361	-1	49804	344
33272	18525	4725	1	49743	345
14370	61928	974	4	40523	346
21229	18679	3655	1	49796	347
42274	60334	3377	-1	40810	348
40001	29904	2975	-1	49802	349
62971	37751	2992	-1	49822	350
34991	37567	4309	-1	49802	351
26328	57326	2757	-1	49891	352
36575	24803	1612	-1	49665	353
22482	51141	1965	1	49885	354
46170	17054	1196	-1	49893	355
24957	43886	999	-1	49528	356
49221	40787	1908	-1	49893	357
38076	27263	4918	-1	49891	358
31875	1319	1196	-1	49893	359
23447	48697	5083	-1	49949	360
6399	35953	1554	-1	49949	361
62867	12325	730	-1	23353	363
60071	59162	1709	-1	49896	369
63209	44677	5058	2	49975	370
50049	30813	567	-1	50001	372
47999	42266	3381	-1	49973	373
34964	37429	1815	-1	49109	375
39708	33852	5083	-1	49981	376
2589	47249	3619	-1	50058	377
32632	7667	3619	-1	50058	378
55618	48116	770	-1	50061	381
42532	13782	770	-1	50048	382
3500	6391	3474	-1	50060	384
15789	11046	5119	-1	50130	390
44416	49676	3208	-1	50140	393
4693	27925	327	1	46940	394
54106	20420	3279	1	50080	395
15568	39649	3415	-1	50128	400
9649	46676	4489	4	48684	401
10833	44606	3641	-1	50177	402
64239	41483	672	-1	50067	404
37715	44766	363	-1	45316	405
48086	932	572	-1	50203	406
8779	6335	672	-1	50021	407
28391	26015	2536	-1	50185	408
39505	39978	825	-1	50066	409
55848	55297	4544	-1	50059	410
28370	15314	3208	-1	50140	411
637	48197	4544	1	50059	413
1269	42989	5058	-1	50218	418
64931	20222	2257	-1	50243	421
6891	47696	4279	-1	50267	423
39771	34211	1965	-1	50243	424
47959	60565	5190	-1	50180	429
20407	51900	2915	-1	50203	430
30128	63397	2257	-1	50243	432
